и, 13800, 4,7315%
в, 6442, 2,20872%
не, 5687, 1,94986%
что, 5011, 1,71808%
он, 4088, 1,40162%
на, 3938, 1,35019%
с, 3834, 1,31454%
как, 2658, 0,91133%
его, 2622, 0,89899%
к, 2188, 0,75018%
то, 1858, 0,63704%
все, 1704, 0,58424%
было, 1616, 0,55407%
я, 1528, 0,52389%
это, 1494, 0,51224%
но, 1448, 0,49647%
она, 1326, 0,45464%
за, 1288, 0,44161%
так, 1286, 0,44092%
был, 1276, 0,43749%
сказал, 1232, 0,42241%
по, 1180, 0,40458%
же, 1179, 0,40424%
Он, 1173, 0,40218%
о, 1126, 0,38606%
ему, 1099, 0,37681%
из, 1024, 0,35109%
ее, 1017, 0,34869%
от, 996, 0,34149%
бы, 902, 0,30926%
князь, 883, 0,30275%
а, 870, 0,29829%
только, 869, 0,29795%
у, 848, 0,29075%
Андрей, 816, 0,27978%
Пьер, 782, 0,26812%
еще, 754, 0,25852%
И, 724, 0,24823%
для, 716, 0,24549%
Я, 682, 0,23383%
него, 634, 0,21737%
была, 621, 0,21292%
вы, 614, 0,21052%
Но, 577, 0,19783%
были, 576, 0,19749%
говорил, 549, 0,18823%
когда, 549, 0,18823%
себя, 539, 0,1848%
чтобы, 531, 0,18206%
ни, 520, 0,17829%
В, 517, 0,17726%
уже, 515, 0,17657%
мне, 513, 0,17589%
время, 500, 0,17143%
быть, 488, 0,16732%
они, 486, 0,16663%
теперь, 480, 0,16457%
этого, 465, 0,15943%
Наташа, 460, 0,15772%
их, 450, 0,15429%
который, 449, 0,15395%
меня, 448, 0,1536%
того, 446, 0,15292%
ты, 445, 0,15257%
Она, 440, 0,15086%
А, 439, 0,15052%
или, 425, 0,14572%
которые, 424, 0,14537%
до, 407, 0,13955%
Князь, 406, 0,1392%
себе, 403, 0,13817%
всех, 401, 0,13749%
Да, 397, 0,13612%
будто, 388, 0,13303%
том, 384, 0,13166%
князя, 382, 0,13097%
сказала, 376, 0,12892%
чем, 375, 0,12857%
ничего, 373, 0,12789%
очень, 372, 0,12754%
будет, 369, 0,12652%
ей, 362, 0,12412%
Что, 358, 0,12274%
Это, 357, 0,1224%
Ну, 355, 0,12172%
Ростов, 354, 0,12137%
Николай, 352, 0,12069%
опять, 349, 0,11966%
тем, 339, 0,11623%
этот, 339, 0,11623%
ли, 336, 0,1152%
во, 335, 0,11486%
потому, 335, 0,11486%
ним, 325, 0,11143%
под, 323, 0,11074%
своей, 314, 0,10766%
при, 299, 0,10252%
Как, 292, 0,10012%
мог, 292, 0,10012%
более, 291, 0,09977%
раз, 289, 0,09909%
сам, 288, 0,09874%
свою, 288, 0,09874%
после, 283, 0,09703%
вас, 282, 0,09669%
Марья, 281, 0,09634%
где, 281, 0,09634%
один, 279, 0,09566%
ней, 276, 0,09463%
мы, 272, 0,09326%
человек, 270, 0,09257%
глаза, 265, 0,09086%
всегда, 263, 0,09017%
другой, 263, 0,09017%
день, 261, 0,08949%
нее, 258, 0,08846%
может, 257, 0,08812%
перед, 255, 0,08743%
своего, 254, 0,08709%
лицо, 251, 0,08606%
Все, 250, 0,08572%
со, 249, 0,08537%
эти, 249, 0,08537%
Нет, 248, 0,08503%
дело, 246, 0,08434%
есть, 245, 0,084%
этом, 244, 0,08366%
Андрея, 243, 0,08332%
своим, 240, 0,08229%
без, 238, 0,0816%
княжна, 238, 0,0816%
вам, 234, 0,08023%
ежели, 234, 0,08023%
руку, 229, 0,07852%
вдруг, 228, 0,07817%
надо, 228, 0,07817%
жизни, 227, 0,07783%
мой, 226, 0,07749%
которое, 225, 0,07714%
больше, 223, 0,07646%
граф, 221, 0,07577%
На, 220, 0,07543%
Не, 218, 0,07474%
которой, 215, 0,07372%
вот, 214, 0,07337%
этой, 214, 0,07337%
нет, 213, 0,07303%
говорить, 211, 0,07234%
людей, 210, 0,072%
нибудь, 209, 0,07166%
хорошо, 209, 0,07166%
даже, 208, 0,07132%
Борис, 201, 0,06892%
которая, 201, 0,06892%
Анна, 199, 0,06823%
всем, 198, 0,06789%
думал, 198, 0,06789%
про, 197, 0,06754%
эту, 197, 0,06754%
знал, 196, 0,0672%
особенно, 196, 0,0672%
стал, 196, 0,0672%
человека, 196, 0,0672%
Вы, 195, 0,06686%
да, 195, 0,06686%
кто, 191, 0,06549%
над, 191, 0,06549%
им, 190, 0,06514%
которого, 190, 0,06514%
них, 190, 0,06514%
видел, 189, 0,0648%
всего, 189, 0,0648%
нему, 189, 0,0648%
несколько, 188, 0,06446%
два, 187, 0,06412%
тоже, 186, 0,06377%
Так, 185, 0,06343%
знаю, 185, 0,06343%
друг, 182, 0,0624%
Вот, 181, 0,06206%
вперед, 180, 0,06172%
тут, 180, 0,06172%
спросил, 179, 0,06137%
говорила, 178, 0,06103%
Долохов, 177, 0,06069%
минуту, 176, 0,06034%
прежде, 175, 0,06%
никогда, 174, 0,05966%
через, 174, 0,05966%
слова, 173, 0,05932%
между, 172, 0,05897%
своих, 172, 0,05897%
Кутузов, 171, 0,05863%
улыбкой, 171, 0,05863%
князю, 170, 0,05829%
нужно, 169, 0,05794%
свои, 166, 0,05692%
об, 165, 0,05657%
отвечал, 165, 0,05657%
потом, 164, 0,05623%
видимо, 163, 0,05589%
которых, 163, 0,05589%
сказать, 163, 0,05589%
Пьерa, 162, 0,05554%
Соня, 161, 0,0552%
улыбаясь, 161, 0,0552%
несмотря, 160, 0,05486%
свое, 160, 0,05486%
там, 160, 0,05486%
тому, 160, 0,05486%
которую, 159, 0,05452%
котором, 158, 0,05417%
солдат, 158, 0,05417%
хотя, 158, 0,05417%
голову, 157, 0,05383%
Они, 155, 0,05314%
назад, 155, 0,05314%
Наполеон, 153, 0,05246%
могу, 153, 0,05246%
тех, 153, 0,05246%
казалось, 152, 0,05212%
тебе, 152, 0,05212%
хотел, 151, 0,05177%
государя, 150, 0,05143%
много, 150, 0,05143%
чтоб, 150, 0,05143%
нем, 149, 0,05109%
вместе, 148, 0,05074%
этих, 148, 0,05074%
тот, 147, 0,0504%
Княжна, 146, 0,05006%
говорили, 146, 0,05006%
Василий, 145, 0,04972%
чего, 144, 0,04937%
Денисов, 143, 0,04903%
голос, 143, 0,04903%
лица, 142, 0,04869%
нас, 139, 0,04766%
глазами, 136, 0,04663%
графа, 136, 0,04663%
руки, 136, 0,04663%
письмо, 135, 0,04629%
лошадь, 134, 0,04594%
офицер, 134, 0,04594%
ж, 133, 0,0456%
сделать, 133, 0,0456%
смотрел, 133, 0,0456%
Ты, 131, 0,04492%
чувствовал, 130, 0,04457%
войска, 129, 0,04423%
глядя, 129, 0,04423%
одно, 129, 0,04423%
этим, 129, 0,04423%
Андрею, 128, 0,04389%
Ах, 128, 0,04389%
дома, 128, 0,04389%
отца, 126, 0,0432%
люди, 125, 0,04286%
вышел, 124, 0,04251%
тебя, 124, 0,04251%
Когда, 123, 0,04217%
Бурьен, 122, 0,04183%
видеть, 121, 0,04149%
подошел, 121, 0,04149%
Ежели, 119, 0,0408%
кроме, 119, 0,0408%
одна, 119, 0,0408%
прямо, 119, 0,0408%
армии, 118, 0,04046%
графиня, 118, 0,04046%
жизнь, 118, 0,04046%
эта, 118, 0,04046%
генерал, 117, 0,04011%
должен, 117, 0,04011%
лице, 117, 0,04011%
нельзя, 117, 0,04011%
приехал, 117, 0,04011%
одного, 116, 0,03977%
стоял, 116, 0,03977%
можно, 115, 0,03943%
здесь, 114, 0,03909%
лошади, 114, 0,03909%
подумал, 114, 0,03909%
тогда, 114, 0,03909%
чувство, 113, 0,03874%
двух, 112, 0,0384%
продолжал, 112, 0,0384%
совсем, 112, 0,0384%
такой, 112, 0,0384%
которым, 111, 0,03806%
своем, 111, 0,03806%
таким, 111, 0,03806%
Павловна, 110, 0,03771%
всю, 110, 0,03771%
пошел, 110, 0,03771%
те, 110, 0,03771%
Анатоль, 109, 0,03737%
одной, 109, 0,03737%
весь, 108, 0,03703%
государь, 108, 0,03703%
лучше, 108, 0,03703%
Элен, 107, 0,03669%
весело, 107, 0,03669%
свой, 107, 0,03669%
ту, 107, 0,03669%
ваше, 106, 0,03634%
разговор, 106, 0,03634%
совершенно, 106, 0,03634%
кого, 105, 0,036%
обратился, 105, 0,036%
друга, 103, 0,03531%
комнату, 103, 0,03531%
отец, 103, 0,03531%
Алпатыч, 102, 0,03497%
видно, 102, 0,03497%
знает, 102, 0,03497%
могла, 102, 0,03497%
собой, 102, 0,03497%
говорит, 101, 0,03463%
первый, 101, 0,03463%
против, 101, 0,03463%
Ростова, 100, 0,03429%
делать, 100, 0,03429%
никто, 100, 0,03429%
сделал, 100, 0,03429%
С, 99, 0,03394%
вошел, 98, 0,0336%
дела, 98, 0,0336%
моя, 98, 0,0336%
скоро, 98, 0,0336%
такое, 98, 0,0336%
У, 97, 0,03326%
давно, 97, 0,03326%
другие, 97, 0,03326%
мадемуазель, 97, 0,03326%
времени, 96, 0,03291%
дня, 95, 0,03257%
долго, 95, 0,03257%
императора, 95, 0,03257%
начал, 95, 0,03257%
своему, 95, 0,03257%
сидел, 95, 0,03257%
той, 95, 0,03257%
уж, 95, 0,03257%
поехал, 94, 0,03223%
Москве, 93, 0,03189%
Наполеона, 93, 0,03189%
милый, 93, 0,03189%
своими, 93, 0,03189%
всей, 92, 0,03154%
головой, 92, 0,03154%
комнате, 92, 0,03154%
три, 92, 0,03154%
других, 91, 0,0312%
место, 91, 0,0312%
старый, 91, 0,0312%
Только, 90, 0,03086%
впереди, 90, 0,03086%
Кутузова, 89, 0,03051%
Михайловна, 89, 0,03051%
знаете, 89, 0,03051%
какой, 89, 0,03051%
слишком, 89, 0,03051%
Ему, 87, 0,02983%
закричал, 87, 0,02983%
лицом, 87, 0,02983%
молодой, 87, 0,02983%
невольно, 87, 0,02983%
остановился, 87, 0,02983%
французов, 87, 0,02983%
Николая, 86, 0,02949%
выражение, 86, 0,02949%
знать, 86, 0,02949%
